data_type,timestamp,EEG1,EEG2,EEG3,EEG4
beta_relative,1592897219718575,0.12145087825433575,0.06486148058211988,NaN,0.12923453218702774
theta_relative,1592897219719365,0.160557903980037,0.08055724788520159,NaN,0.15120718294036936
isGood,1592897219720157,1.0,1.0,0.0,0.0
quality,1592897219720387,1.0,1.0,2.0,1.0
alpha_absolute,1592897219835660,0.7021822346247064,0.5786358677960364,0.0,0.06390147268390226
beta_absolute,1592897219837165,0.5577529405582526,0.14534707963185214,0.0,0.2073954295964527
theta_absolute,1592897219838372,0.6508812644650637,0.22504255419555425,0.0,0.238403768397
alpha_relative,1592897219839431,0.16140634342020713,0.17557715946101382,NaN,0.09552910598521372
beta_relative,1592897219840600,0.11574208587215461,0.06474097423091002,NaN,0.13293204022644603
theta_relative,1592897219841690,0.14342327287356396,0.0777812118006859,NaN,0.14277034504233782
isGood,1592897219842793,1.0,1.0,0.0,0.0
quality,1592897219843220,1.0,1.0,2.0,1.0
alpha_absolute,1592897219958721,0.7522783036480402,0.5793139278808934,0.0,-0.127808763165113
beta_absolute,1592897219960327,0.5684566332671744,0.12842510307524724,0.0,0.2091908792421284
theta_absolute,1592897219961600,0.6304047612828958,0.204172145674975,0.0,0.21955007283203823
alpha_relative,1592897219962764,0.17164075481616878,0.18285361675408296,NaN,0.059061749748195544
beta_relative,1592897219964210,0.11240839460806533,0.06474626643626749,NaN,0.12832342764367738
theta_relative,1592897219965511,0.12964234360519777,0.07708356158553989,NaN,0.1314211142773584
